,state,Trump_votes,Trump_percent
0,Alabama,"1,441,170",62.2
1,Alaska,"189,543",53.1
2,Arizona,"1,661,686",49.1
3,Arkansas,"760,647",62.4
4,California,"5,982,194",34.3
5,Colorado,"1,364,471",41.9
6,Connecticut,"715,291",39.2
7,Delaware,"200,603",39.8
8,Florida,"5,668,731",51.2
9,Georgia,"2,461,837",49.3
10,Hawaii,"196,602",34.3
11,Idaho,"554,128",63.9
12,Illinois,"2,438,943",40.5
13,Indiana,"1,729,516",57.1
14,Iowa,"897,672",53.2
15,Kansas,"752,933",56.5
16,Kentucky,"1,326,646",62.1
17,Louisiana,"1,255,776",58.5
18,Maine,"360,480",44
19,Maryland,"976,414",32.4
20,Massachusetts,"1,167,202",32.3
21,Michigan,"2,649,852",47.8
22,Minnesota,"1,484,065",45.4
23,Mississippi,"756,789",57.6
24,Missouri,"1,718,282",56.8
25,Montana,"343,647",56.9
26,Nebraska,"556,846",58.5
27,Nevada,"669,890",47.7
28,New Hampshire,"365,660",45.5
29,New Jersey,"1,883,260",41.4
30,New Mexico,"401,894",43.5
31,New York,"3,039,466",41.1
32,North Carolina,"2,758,775",50.1
33,North Dakota,"235,595",65.5
34,Ohio,"3,154,834",53.3
35,Oklahoma,"1,020,280",65.4
36,Oregon,"958,448",40.7
37,Pennsylvania,"3,378,263",48.8
38,Rhode Island,"199,922",38.8
39,South Carolina,"1,385,103",55.1
40,South Dakota,"261,043",61.8
41,Tennessee,"1,849,556",60.7
42,Texas,"5,890,347",52.1
43,Utah,"865,140",58.2
44,Vermont,"112,704",30.8
45,Virginia,"1,962,430",44.2
46,Washington,"1,584,651",39
47,Washington Dc,"18,586",5.4
48,West Virginia,"545,382",68.6
49,Wisconsin,"1,610,184",48.9
50,Wyoming,"193,559",70.4
